source_version,source_node_id,source_node_name,target_version,target_node_id,target_node_name,action,target_status,notes
classin-im-semantic-taxonomy-v2.1-candidate,L2-025,课程排期与变更,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-025,课程排期与变更,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-018,可用时段与排班,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-018,可用时段与排班,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-075,课程预约与固定排课,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-075,课程预约与固定排课,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-017,课程改期、取消与补课,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-017,课程改期、取消与补课,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-026,到课与课堂运行,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-026,到课与课堂运行,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-019,到课、请假与缺勤处置,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-019,到课、请假与缺勤处置,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-024,教室与课堂接入,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-024,教室与课堂接入,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-043,学员承接、服务与权益,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-043,学员承接、服务与权益,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-076,试听、首课与学员承接,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-076,试听、首课与学员承接,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-077,服务评价、投诉与口碑跟进,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-077,服务评价、投诉与口碑跟进,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-078,学员课程权益、费用与退款,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-078,学员课程权益、费用与退款,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-044,教师合作、规范与结算,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-044,教师合作、规范与结算,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-080,教师招聘、入职与资料,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-080,教师招聘、入职与资料,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-081,教师工作规范、考核与人员处置,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-081,教师工作规范、考核与人员处置,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-079,教师课酬、薪资与奖励,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-079,教师课酬、薪资与奖励,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L1-004,数字平台与技术,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L1-004,数字平台与技术,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-008,账号、联系人与群组空间,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-008,账号、联系人与群组空间,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-026,账号认证与资料设置,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-026,账号认证与资料设置,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-082,联系人与通讯功能,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-082,联系人与通讯功能,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-027,群组空间与成员治理,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-027,群组空间与成员治理,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-045,设备、应用与数字操作,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-045,设备、应用与数字操作,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-029,连接、设备与应用故障,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-029,技术故障与连接排查,rename_or_narrow,active,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L3-030,设备与应用配置,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-030,设备设置、应用安装与使用限制,rename_or_narrow,active_provisional,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L3-032,在线课堂与协作工具,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-032,在线课堂与协作功能操作,rename_or_narrow,active_provisional,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L3-033,文件与媒体操作,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-033,消息、文件与媒体操作,rename_or_narrow,active,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L1-005,人际关系与社交,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L1-005,人际关系与社交,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-011,关系与相处,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-011,关系与相处,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-034,恋爱与亲密关系,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-034,恋爱与亲密关系,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-035,朋友同学关系与相处,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-035,朋友同学关系与相处,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-036,家庭与亲属关系,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-036,家庭与亲属关系,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-046,个人身份、特征与自我认知,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-046,个人身份、特征与自我认知,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-012,社交安排与社群参与,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-012,社交活动、日常交流与社群参与,rename_or_narrow,active,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L3-038,见面、聚会与交流安排,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-038,见面、聚会与交流安排,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-039,社群参与与成员交流,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-039,社群参与与成员交流,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-040,玩笑、梗与语言游戏,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-040,玩笑、梗与语言游戏,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L1-006,娱乐与创作,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L1-006,娱乐与创作,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-013,娱乐内容、游玩与兴趣收藏,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-013,娱乐内容、游玩与兴趣收藏,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-041,游戏与游玩,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-041,游戏与游玩,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-042,影视、动漫与文学作品,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-042,影视、动漫与文学作品,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-043,音乐作品、演出与艺人文化,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-043,音乐作品、演出与艺人文化,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-083,体育赛事与运动娱乐,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-083,体育赛事与运动娱乐,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-049,兴趣周边与收藏,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-049,兴趣周边与收藏,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-014,内容创作与虚构互动,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-014,内容创作与虚构互动,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-045,视觉艺术与手作创作,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-045,视觉艺术与手作创作,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-046,故事、角色设定与虚构互动,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-046,故事、角色设定与虚构互动,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L3-047,音视频与多媒体创作,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-047,音视频与多媒体创作,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L1-007,日常生活、健康与出行,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L1-007,日常生活、健康与出行,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-047,日常起居与生活事务,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-047,饮食、作息与生活事务,rename_or_narrow,active,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L2-048,个人近况、经历与日常安排,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-048,个人近况、经历与日常安排,retire_overbroad,retired_do_not_reuse,宽泛个人近况节点被人工否决；具体内容分流，纯关系维系进入 L3-100。
classin-im-semantic-taxonomy-v2.1-candidate,L2-049,宠物与动物生活,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-049,宠物与动物生活,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-050,健康与身体活动,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-050,健康与身体活动,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-051,天气与自然环境状况,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-051,天气与自然环境状况,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-052,位置、行程与旅行,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-052,位置、行程与旅行,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L1-011,教育路径与研究,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L1-011,教育环境与校园事务,rename_or_narrow,active,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L2-053,校园事务与教育路径,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-053,校园事务与校园生活,rename_or_narrow,active_provisional,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L2-054,专业研究与学术发表,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-054,专业研究与学术发表,deactivate_to_candidate_pool,inactive_candidate,A+B 两个论文实例均处在学习/指导语境，先迁往 L3-071；无干净独立专业研究正例。
classin-im-semantic-taxonomy-v2.1-candidate,L1-012,商业、消费与金融,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L1-012,商业、消费与金融,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-056,商业与消费,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-056,消费与购买,rename_or_narrow,active_provisional,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L2-057,金融市场分析与交易,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-057,金融市场分析与交易,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L1-013,法律与公共事务,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L1-013,法律与公共事务,preserve,active,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,L2-058,法律、权利与公共安全,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-058,法律与权利,rename_or_narrow,active_provisional,保留 ID；v2.2 收窄或澄清名称，历史版本名称不回写。
classin-im-semantic-taxonomy-v2.1-candidate,L2-059,公共事务与社会信息,classin-im-semantic-taxonomy-v2.2-frozen-20260902,L2-059,公共事务与社会信息,preserve,active_provisional,ID 与语义连续。
classin-im-semantic-taxonomy-v2.1-candidate,"","",classin-im-semantic-taxonomy-v2.2-frozen-20260902,L3-100,日常寒暄与关系维系,new,active_provisional,使用新 ID；L3-084 已由历史 v2 的棋牌节点占用，禁止复用。
