baseline_version,source_scope,old_path_names,old_terminal_name,ab_topic_count,ab_example_topic_instance_ids,ab_example_topic_names,successor_mode,default_target_terminal_node_id,default_target_path_names,allowed_neighbor_terminal_node_ids,empty_path_action,post_route_comparison,notes
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,娱乐与创作 > 创作与角色文化 > 角色扮演与虚构互动,角色扮演与虚构互动,1,STI-a41f9e2b4e5dadf13fb1,鬼灭之刃原创角色设定与互动扮演,merge,L3-046,娱乐与创作 > 内容创作与虚构互动 > 故事、角色设定与虚构互动,L3-040,,blind_target=default→direct_fit/rename_merge；否则→remap/semantic_move,与旧文字角色创作节点合并为故事、设定与虚构互动。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,娱乐与创作 > 创作与角色文化 > 音视频创作,音视频创作,3,STI-090cd6923b16b236f59b|STI-f0832637c04ac02e64f4|STI-54d407a17534f29c9a4c,纪念视频剪辑与配乐选择 || 视频剪辑与追星交流 || 将素材制作成智子的格式沟通,exact,L3-047,娱乐与创作 > 内容创作与虚构互动 > 音视频与多媒体创作,L3-033,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,创作目的延续；纯文件操作应分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,娱乐与创作 > 娱乐作品与活动 > 体育与互动活动,体育与互动活动,1,STI-27c498f076100f47d9d6,桨板活动与动作方式,boundary_review,,,L3-083|L3-041|L2-050,,任何已分配终点→remap且强制复核；不清/无位→对应状态,旧范围混合运动娱乐、游戏与持续锻炼，无唯一继承终点。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,娱乐与创作 > 娱乐作品与活动 > 影视动漫与文学作品,影视动漫与文学作品,4,STI-c04e3d97b7d7f919a785|STI-18040d8bccefec2b8a47|STI-acd8b06ecdc1449faa6d,动画《八仙》角色与配对讨论 || 动漫圈层兴趣交流 || 剧集播出与人物关系讨论,exact,L3-042,娱乐与创作 > 娱乐内容、游玩与兴趣收藏 > 影视、动漫与文学作品,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,娱乐作品讨论语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,娱乐与创作 > 娱乐作品与活动 > 电子游戏与游玩,电子游戏与游玩,4,STI-8631afa76c7fbc100660|STI-8200fd471b6c91771d2b|STI-1cb20ac9b2a8c7d0aef8,虚拟平台游戏与金蛋道具 || 游戏更新与共同游玩安排 || 足球游戏阵容与卡牌评分交流,exact,L3-041,娱乐与创作 > 娱乐内容、游玩与兴趣收藏 > 游戏与游玩,L3-005,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,娱乐游玩语义连续；编程或项目学习另分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,娱乐与创作 > 娱乐作品与活动 > 音乐与偶像文化,音乐与偶像文化,2,STI-f4ff3b55bda890afe261|STI-fe559c36c37b591a2e71,俄罗斯钢琴学派与赛事讨论 || 演唱会体验与现场视频分享,exact,L3-043,娱乐与创作 > 娱乐内容、游玩与兴趣收藏 > 音乐作品、演出与艺人文化,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,音乐作品、演出和艺人文化语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,学习与学业内容 > 学习任务与评价 > 作业与练习,作业与练习,11,STI-7ee1e6b337f2b9d71685|STI-c66aa1a29f27cab726ab|STI-afa07903cf0325b51d50,补作业与英语听说作业截止时间 || 课前及课后作业要求 || 作业完成与提交评价,exact,L3-007,学习与学业内容 > 学习任务、计划与评价 > 作业布置、完成与订正,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,作业布置、完成与订正语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,学习与学业内容 > 学习任务与评价 > 学习表现与反馈,学习表现与反馈,8,STI-b524e53f3bb1f2939c0f|STI-b544dae5a7a22b92b567|STI-a433302927d6a7a3a012,Apple课堂注意力与教学方式 || 学生课后学习反馈与家长转发 || Adam和Wendy学生报告请求,exact,L3-010,学习与学业内容 > 学习任务、计划与评价 > 日常学习表现与反馈,L3-072,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,日常学情表现与反馈连续；正式测评成绩严格排除。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,学习与学业内容 > 学习任务与评价 > 学习计划与资源,学习计划与资源,2,STI-4c3a3e617e5e5671122c|STI-09cd2311f389de17cc0e,假期补课与自学安排 || 论文修改与导师反馈,boundary_review,L3-009,学习与学业内容 > 学习任务、计划与评价 > 学习计划、复习与备考,L3-073|L3-071,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,计划、备考可继承；资源须按教学资料或研究学习对象分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,学习与学业内容 > 学习任务与评价 > 测评与考试反馈,测评与考试反馈,4,STI-2d96d0a1fe6d7c1ec214|STI-462a91cd3a4db008f27e|STI-44f9fa067d2d27a6f977,老师分享自己学生雅思口语取得好成绩&自己有成就感 || Emily的IELTS听力分数估算 || 确认FC E考试是否通过及分数,boundary_review,,,L3-072|L3-010|L3-009,,任何已分配终点→remap且强制复核；不清/无位→对应状态,旧节点混合正式考试、练习估分、日常表现及备考，无唯一继承终点。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,学习与学业内容 > 学科与技能学习 > 数学学习,数学学习,1,STI-bc6cca10191f47b9746f,数学圆与直线课程进度和难点,exact,L3-003,学习与学业内容 > 学科、技能与研究学习 > 数学学习,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,数学知识与技能学习语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,学习与学业内容 > 学科与技能学习 > 理科与工程学习,理科与工程学习,2,STI-2e3946fccc5af55e82cd|STI-13d3c331b05625b88a2e,论文政策试点选题与研究问题选择 || 试点数据构建、代码修改与样本处理,boundary_review,,,L3-004|L3-071|L3-005,,任何已分配终点→remap且强制复核；不清/无位→对应状态,A+B实例包含研究方法与代码任务；不能仅按理工关键词继承。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,学习与学业内容 > 学科与技能学习 > 艺术技能学习,艺术技能学习,1,STI-807cee9e374380cd3280,钢琴演奏状态与音乐表达,exact,L3-006,学习与学业内容 > 学科、技能与研究学习 > 艺术技能学习,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,艺术技能学习语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,学习与学业内容 > 学科与技能学习 > 英语语言学习,英语语言学习,2,STI-26af52dfaf2088efd8c7|STI-e3bd316ce5f74dee5f72,英语语法、词汇与课本练习讲解 || be bound for短语解释,exact,L3-001,学习与学业内容 > 学科、技能与研究学习 > 英语语言学习,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,英语知识与技能学习语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,学习与学业内容 > 学科与技能学习 > 语文与中文学习,语文与中文学习,1,STI-fc1a31e5968910612b77,语文文本分析理解与课堂讲解,exact,L3-002,学习与学业内容 > 学科、技能与研究学习 > 语文与中文学习,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,中文与语文学习语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,教学与课程内容 > 教学反馈与记录 > 教学反馈与质量,教学反馈与质量,4,STI-40493d23b43c65a20936|STI-5d328780b49940239117|STI-6c0512ba9323b465408a,课程反馈与教材资料处理 || 负面评价的删除与跟进 || 课堂内容聚焦与学习难度反馈,boundary_review,L3-015,教学设计、实施与改进 > 教学方法、课堂规范与质量改进 > 教学质量评价与改进,L3-010|L3-077,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,按评价对象区分教学质量、学生表现和课程服务评价。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,教学与课程内容 > 教学材料与实施 > 教学方法与课堂活动,教学方法与课堂活动,8,STI-ee637ca6389a7b8c79b4|STI-eba54660f706308a8009|STI-3c98b2170d96efc6b0bd,艺术教学对象与教学表达 || Heman英语课堂语速调整 || 低龄英语课互动贴纸小游戏参考,boundary_review,L3-014,教学设计、实施与改进 > 教学方法、课堂规范与质量改进 > 教学方法与课堂活动设计,L3-074|L3-015,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,旧范围混合教师方法、学生参与规范与质量评价。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,教学与课程内容 > 教学材料与实施 > 教学资料与课件,教学资料与课件,6,STI-d24070844d8f7317985e|STI-636f796c76c3d8905fff|STI-9b98f8bf8b20abc8e9e6,查找Let's Talk教材 || 课件使用与获取 || 使用AI制作个性化课件,merge,L3-073,教学设计、实施与改进 > 教学内容规划与资源 > 教材、教学资料与课件,L3-033,,blind_target=default→direct_fit/rename_merge；否则→remap/semantic_move,与教材选择节点合并；纯消息文件操作另分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,教学与课程内容 > 教学材料与实施 > 教材与材料选择,教材与材料选择,4,STI-f2b296d99c9087b6fb81|STI-fd7a9058103f2e9f4c51|STI-b5ea683ef2210fa50bd5,为初学儿童学生选择课程教材 || 英语教材与课件准备 || 学生教材与阅读级别调整,merge,L3-073,教学设计、实施与改进 > 教学内容规划与资源 > 教材、教学资料与课件,L3-012,,blind_target=default→direct_fit/rename_merge；否则→remap/semantic_move,与教学资料课件节点合并；课程内容进度另分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,教学与课程内容 > 教学材料与实施 > 教材与课程进度,教材与课程进度,5,STI-9ef16a5c9a0d794249aa|STI-184e3e3a60636da85baa|STI-b1a67803c36ebf192820,学生教材与授课内容确认 || Coco课程课件缺失与教材变更 || 后续英语材料与写作表达安排,boundary_review,L3-012,教学设计、实施与改进 > 教学内容规划与资源 > 课程内容范围与教学进度,L3-073|L3-014,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,旧节点同时含资源选择、教什么与怎么教，必须回看主要事项。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,教育与工作经济 > 学校与教育路径 > 学校与校园生活,学校与校园生活,4,STI-264cf03c3cd11b063f16|STI-4b30ba59953c74fa3c56|STI-b6ad97b76a5609093316,对高中生活与请假的看法 || 抑郁症辩题辩论赛投票与报名 || 学校班级与同学去向,boundary_review,L2-053,教育环境与校园事务 > 校园事务与校园生活,L3-009|L3-038,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,学校仅作背景不成立；需确认主要事项确为校园制度、班级或校内活动。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,教育与工作经济 > 研究与经济活动 > 学术研究与论文,学术研究与论文,2,STI-7f5f1d7502a8e54c0b6c|STI-b9d5718f8e82ff9771ed,投稿期刊选择与格式准备 || 事件研究图与平行趋势检验,boundary_review,,,L3-071,,任何已分配终点→remap且强制复核；不清/无位→对应状态,学习指导型研究可进L3-071；独立专业研究节点未启用，必要时taxonomy_gap。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,教育与工作经济 > 研究与经济活动 > 消费与购买,消费与购买,1,STI-eafbe5beabaae991a8b8,书展参观与购书,exact,L2-056,商业、消费与金融 > 消费与购买,L3-049|L2-047|L3-078,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,一般消费购买连续；收藏、生活物品及课程权益按对象分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,数字平台与技术 > 数字技术与访问 > 应用与设备使用,应用与设备使用,5,STI-9de114c0bf1b2e282a08|STI-510b35f54a1b4d7c9ab9|STI-3d6d1c91dafb975fc481,打字速度与语音输入 || 备用手机是否可用 || 豆包消息可用性,boundary_review,L3-030,数字平台与技术 > 设备、应用与数字操作 > 设备设置、应用安装与使用限制,L3-029|L3-032|L3-033|L2-047,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,设备/应用是目标还是媒介需判断；故障、课堂功能、文件操作和生活取用分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,数字平台与技术 > 数字技术与访问 > 连接与设备故障,连接与设备故障,8,STI-d1bb64bb723f74a50685|STI-b64b20b437a6910de0d1|STI-d5c53c11473782301cfe,课堂中学生音视频连接异常 || 授课设备与网络故障处理 || 课堂麦克风与视频异常处理,exact,L3-029,数字平台与技术 > 设备、应用与数字操作 > 技术故障与连接排查,L3-024,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,技术故障排查语义连续；纯教室接入事项另分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,数字平台与技术 > 课堂工具与数字媒体 > 在线课堂工具使用,在线课堂工具使用,2,STI-f465c15f5799da0ac687|STI-394d5f9c4a061a269673,共同使用成长页黑板功能 || 消息被屏蔽及分段发送,boundary_review,L3-032,数字平台与技术 > 设备、应用与数字操作 > 在线课堂与协作功能操作,L3-033|L3-027,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,教育协作功能、通用消息文件操作与群治理需按操作对象区分。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,数字平台与技术 > 课堂工具与数字媒体 > 数字媒体与文件处理,数字媒体与文件处理,1,STI-3ea0fb0c2b5ce5f28a9b,通过加号拍照发送图片,boundary_review,L3-033,数字平台与技术 > 设备、应用与数字操作 > 消息、文件与媒体操作,L3-073|L3-047,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,按目的区分通用文件操作、教学资源内容和多媒体创作。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,数字平台与技术 > 账号与在线社群 > 在线联络与联系人,在线联络与联系人,5,STI-368670ca75e8eb7af21d|STI-a3b6a852149980a6e85b|STI-a100c0e478ae01d71d73,师生添加联系方式 || 约定通话时间 || 联系不上对方后的安全担忧,boundary_review,L3-082,数字平台与技术 > 账号、联系人与群组空间 > 联系人与通讯功能,L3-038|L3-035|L3-036,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,通讯功能本身与社交联系安排、关系担忧需分轴。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,数字平台与技术 > 账号与在线社群 > 群组与社群设置,群组与社群设置,14,STI-83efbf7bcfbf8ebd022a|STI-ff3239e2a8ddffa08252|STI-cacc7e372fb1aab7e899,班级群聊天规则 || 迁入新ClassIn群并统一昵称时间 || 迁移至新班级群,exact,L3-027,数字平台与技术 > 账号、联系人与群组空间 > 群组空间与成员治理,L3-039,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,群空间与成员治理连续；纯社群参与交流另分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,数字平台与技术 > 账号与在线社群 > 账号与身份资料,账号与身份资料,4,STI-40e01cbd4e94be924fa6|STI-141ab34b17421650daac|STI-da39e604b6d5cc31c99b,协助登录QQ账号 || 电脑端登录与扫码排障 || 学习平台登录与作业提交协助,boundary_review,L3-026,数字平台与技术 > 账号、联系人与群组空间 > 账号认证与资料设置,L3-029|L3-030|L3-007,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,账号认证资料与故障、应用设置、作业提交需按目标区分。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,日常生活与健康 > 环境与出行 > 天气与公共环境,天气与公共环境,2,STI-8dd8d056dce4cd6545c1|STI-eeef0cc702b245db0e5a,雷暴期间可能断线说明 || 台风天气与出行影响,boundary_review,L2-051,日常生活、健康与出行 > 天气与自然环境状况,L3-017|L3-019|L3-029,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,天气本身可继承；若只解释调课、缺勤或断线则仅作原因。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,日常生活与健康 > 环境与出行 > 旅行与地点经历,旅行与地点经历,4,STI-06997ed6c2d3b196cbd0|STI-7117adee742a391b4ebd|STI-454d4acbab141e62f2bb,圣彼得堡与莫斯科的留学见闻 || 询问返程位置及回家时间 || 北京升旗观看经历,boundary_review,L2-052,日常生活、健康与出行 > 位置、行程与旅行,L3-038,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,位置行程旅行可继承；以会合见面为目标时转社交安排。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,日常生活与健康 > 生活与健康 > 健康与医疗,健康与医疗,4,STI-7b5859bb7969e32bc1a1|STI-eb7298a36fba16475bed|STI-fa2667e93ae25c03fe60,未及时回复与教师休息说明 || 家人透析治疗与照护安排 || 医疗期间的亲友支持与费用,boundary_review,L2-050,日常生活、健康与出行 > 健康与身体活动,L3-019|L3-017|L3-036,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,健康本身可继承；若仅为请假调课原因或家庭关系背景则不夺主路径。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,日常生活与健康 > 生活与健康 > 动物与饲养,动物与饲养,1,STI-8299b334c44b00d4c772,家中兔子被宰杀的讨论,exact,L2-049,日常生活、健康与出行 > 宠物与动物生活,,,blind_target=default→direct_fit/identity；否则→remap/semantic_move,宠物与动物生活语义连续。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,日常生活与健康 > 生活与健康 > 日常生活与饮食,日常生活与饮食,6,STI-fa70f5b359deab4cf11a|STI-896436e0b0c1f0b31dfb|STI-ff9d6caf00f2c2e3f447,手机无法取用与零食费用沟通 || 夜间未睡与道晚安 || 餐食与饮品领取安排,boundary_review,L2-047,日常生活、健康与出行 > 饮食、作息与生活事务,L3-100|L2-052|L3-038,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,旧节点过宽；饮食作息生活事务可继承，寒暄、行程与见面需分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,日常生活与健康 > 生活与健康 > 运动与身体锻炼,运动与身体锻炼,1,STI-eee5d2b9a552b4075ad3,暑期运动与体重目标,boundary_review,L2-050,日常生活、健康与出行 > 健康与身体活动,L3-083,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,持续锻炼归健康身体活动；单次休闲运动归运动娱乐。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,特殊内容主题 > 敏感与未见内容 > 其他/待细分主题,其他/待细分主题,7,STI-b5eaed4ecf93a8d72724|STI-4f5d00971337c4029af4|STI-4ae90a3a84058d291f52,白天群与晚间直播参与安排 || 智子拆解显示与页面卡顿问题 || 软件卡顿、更新失败与安装包处理,deactivated,,,,,任何已分配终点→remap且强制复核；不清/无位→对应状态,宽泛兜底已退出主树；须盲语义重路由，必要时gap/insufficient/split。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,课程运营与服务 > 在线课程运行 > 在线教室与课程接入,在线教室与课程接入,11,STI-ee86a5a5a6932f09f739|STI-709d2c813ed5d42f16b4|STI-8297e88f6cb4fa86f4ad,催促学员进入课堂 || Zoom课堂链接与当晚是否上课 || 晚间腾讯会议安排,boundary_review,L3-024,课程运营与服务 > 到课与课堂运行 > 教室与课堂接入,L3-019|L3-032|L3-029,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,区分教室接入、催促人员到课、课堂功能操作与技术故障。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,课程运营与服务 > 课程排期与出勤 > 到课与缺勤处理,到课与缺勤处理,19,STI-159e284220060c1d9583|STI-0adec9dc50ae441551d7|STI-942ce3a512635ce4380f,台风期间网络故障导致的请假与复课沟通 || 8月19日迟到课程的扣罚处理 || 8月24日至26日课程出勤与课时状态,boundary_review,L3-019,课程运营与服务 > 到课与课堂运行 > 到课、请假与缺勤处置,L3-079|L3-078|L3-017|L3-024,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,到课缺勤可继承；扣薪、退款、调课、接入若成独立事项须分流或拆分。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,课程运营与服务 > 课程排期与出勤 > 可用时段与排班,可用时段与排班,6,STI-4eb20542a491691cdd74|STI-3c771976dc6bff7702bf|STI-06a54591fe2d37be8946,工作日课表调整与周四请假 || 授课课表与高峰时段安排 || 教师可授课时段确认,boundary_review,L3-018,课程运营与服务 > 课程排期与变更 > 可用时段与排班,L3-075|L3-017,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,区分一般可用时段、首次/固定排课与已排课程变更。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,课程运营与服务 > 课程排期与出勤 > 课程变更与补课,课程变更与补课,25,STI-845b8f3a9fc93a662df4|STI-178c1b431bb13433cf92|STI-37fa0c688e7b09c4200f,周四钢琴课延后开始 || 课程时间调整与确认 || 因Silver生病取消Luca课程,boundary_review,L3-017,课程运营与服务 > 课程排期与变更 > 课程改期、取消与补课,L3-075|L3-018,,blind_target=default→direct_fit但强制复核；其他终点→remap；不清/无位→对应状态,改期取消补课可继承；首次/固定预约和一般时段需分流。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,课程运营与服务 > 课程服务管理 > 教师事务与人员管理,教师事务与人员管理,3,STI-97a36ca04f94e44fcda8|STI-5b32849c0674b7eaa4ed|STI-429c8fec757131164c07,教师宣传视频与擅长材料信息提交 || 招募英语教师的推荐通知 || 新教师入职资料、工作规范与教学要求,boundary_review,,,L3-080|L3-081|L3-079,,任何已分配终点→remap且强制复核；不清/无位→对应状态,旧节点覆盖招聘入职、工作规范考核与教师结算，无唯一继承终点。
classin-im-v1-effective-path-to-v2.2-successor-20260902,A+B_ONLY,课程运营与服务 > 课程服务管理 > 课程服务与行政,课程服务与行政,1,STI-783a199447c502ec1b83,工作群沟通与请假规则,boundary_review,,,L3-019|L3-076|L3-078|L3-079|L3-081,,任何已分配终点→remap且强制复核；不清/无位→对应状态,宽泛行政叶已撤销；必须按主要治理对象重路由。
