research_phase,window_id,topic_instance_id,adjudication_status,human_decision,effective_name,effective_description,effective_path_l1,effective_path_l2,effective_path_l3,effective_taxonomy_path,qualification,effective_message_count,message_share,evidence_message_count,evidence_message_ids,source_name,source_taxonomy_path
A,S1000-0005,STI-98842558c789241e975f,accepted,agree,黄金交易的进出场、止损和离场建议,黄鱼老张持续发布黄金交易的价格位置、做多做空、加减仓、止损、获利离场及行情判断建议。,金融与公共信息,金融与公共议题,金融市场与交易,金融与公共信息 > 金融与公共议题 > 金融市场与交易,standard,97,0.97,97,1082550221|1082550223|1082550225|1082550227|1082550229|1082550231|1082550233|1082550235|1082550237|1082550239|1082550241|1082550243|1082550245|1083839397|1083839399|1083839401|1083839403|1083839405|1083839407|1083839409|1083839411|1083839413|1083839415|1083839417|1083839419|1083839421|1083839423|1083839427|1083839429|1083839431|1083839433|1083839439|1083839441|1083839443|1085121999|1085122001|1086410167|1086410169|1086410171|1086410173|1086410175|1086410177|1086410179|1086410181|1086410183|1086410185|1086410187|1086410189|1086410191|1086410193|1086410195|1086410197|1086410199|1086410201|1086410203|1086410205|1087660717|1087660719|1087660721|1087660723|1087660725|1087660727|1087660729|1087660731|1087660733|1087660735|1087660737|1087660739|1087660741|1087660743|1092323303|1092323305|1092323307|1092323309|1092323311|1092323313|1092323315|1093649095|1093649097|1093649099|1093649101|1093649103|1093649105|1093649107|1093649109|1093649111|1093649113|1093649115|1093649117|1093649119|1093649121|1093649123|1094957077|1094957079|1094957081|1094957083|1094957085,黄金交易的进出场、止损和离场建议,金融与公共信息 > 金融与公共议题 > 金融市场与交易
A,S1000-0006,STI-141ab34b17421650daac,accepted,agree,电脑端登录与扫码排障,一方协助另一方在电脑端下载安装、扫码并最终完成登录。,数字平台与技术,账号与在线社群,账号与身份资料,数字平台与技术 > 账号与在线社群 > 账号与身份资料,standard,33,0.33,33,1107363833|1107363835|1107363837|1107363841|1107363843|1107363845|1107363847|1107363851|1107363853|1107363855|1107363857|1107363859|1107363861|1107363863|1107363865|1107363867|1107363869|1107363871|1107363873|1107363875|1107363879|1107363881|1107363885|1107363887|1107363891|1107363893|1107363895|1107363897|1107363901|1107363903|1107363905|1107363909|1107363911,电脑端登录与扫码排障,数字平台与技术 > 账号与在线社群 > 账号与身份资料
A,S1000-0006,STI-40e01cbd4e94be924fa6,accepted,agree,协助登录QQ账号,双方协调通过姐姐和验证码登录QQ，以便进入游戏。,数字平台与技术,账号与在线社群,账号与身份资料,数字平台与技术 > 账号与在线社群 > 账号与身份资料,standard,39,0.39,39,1107363741|1107363745|1107363749|1107363751|1107363753|1107363755|1107363757|1107363759|1107363763|1107363765|1107363767|1107363771|1107363773|1107363775|1107363777|1107363779|1107363781|1107363785|1107363787|1107363789|1107363791|1107363793|1107363795|1107363797|1107363801|1107363805|1107363807|1107363809|1107363811|1107363813|1107363815|1107363817|1107363819|1107363821|1107363823|1107363825|1107363827|1107363829|1107363831,协助登录QQ账号,数字平台与技术 > 账号与在线社群 > 账号与身份资料
A,S1000-0006,STI-fa70f5b359deab4cf11a,partially_corrected_unresolved,problem,手机无法取用与零食费用沟通,双方沟通手机无法取用、外出限制及代买零食后的费用支付方式（不能用手机支付）,日常生活与健康,生活与健康,日常生活与饮食,日常生活与健康 > 生活与健康 > 日常生活与饮食,standard,12,0.12,12,1106362049|1107363715|1107363717|1107363719|1107363721|1107363723|1107363725|1107363727|1107363731|1107363733|1107363735|1107363737,手机无法取用与零食费用沟通,教育与工作经济 > 研究与经济活动 > 消费与购买
A,S1000-0007,STI-01d9e03a556f417f8d9a,accepted,agree,钢琴练习任务与剩余课时,消息记录剩余课时，并提出奏鸣曲和Scherzo的练习要求。,,,,,short_candidate,2,0.02,2,1081364687|1081364689,钢琴练习任务与剩余课时,
A,S1000-0007,STI-06997ed6c2d3b196cbd0,accepted,agree,圣彼得堡与莫斯科的留学见闻,双方交流莫斯科和圣彼得堡的城市印象、饮食、夜间安全及留学回忆。,日常生活与健康,环境与出行,旅行与地点经历,日常生活与健康 > 环境与出行 > 旅行与地点经历,standard,24,0.24,24,1086334971|1086334973|1086334975|1086334977|1086334979|1086334981|1086334983|1086334985|1086334987|1086334989|1086334991|1086334993|1086334995|1086334997|1086334999|1086335001|1086335003|1086335005|1086335007|1086335009|1086335011|1086335013|1086335015|1086335017,圣彼得堡与莫斯科的留学见闻,日常生活与健康 > 环境与出行 > 旅行与地点经历
A,S1000-0007,STI-807cee9e374380cd3280,accepted,agree,钢琴演奏状态与音乐表达,双方讨论学生演奏的连贯性、读谱失误和技术与音乐表达的关系。,学习与学业内容,学科与技能学习,艺术技能学习,学习与学业内容 > 学科与技能学习 > 艺术技能学习,standard,18,0.18,18,1086334897|1086334899|1086334901|1086334903|1086334905|1086334907|1086334909|1086334911|1086334913|1086334915|1086334919|1086334917|1086334921|1086334923|1086334925|1086334927|1086334929|1086334931,钢琴演奏状态与音乐表达,学习与学业内容 > 学科与技能学习 > 艺术技能学习
A,S1000-0007,STI-845b8f3a9fc93a662df4,corrected,problem,周四钢琴课延后开始,双方确认周四钢琴课改为20:30开始，共上一节课。,课程运营与服务,课程排期与出勤,课程变更与补课,课程运营与服务 > 课程排期与出勤 > 课程变更与补课,short_candidate,4,0.04,4,1085041531|1085041533|1086334893|1086334895,周四钢琴课延后开始,
A,S1000-0007,STI-ee637ca6389a7b8c79b4,accepted,agree,艺术教学对象与教学表达,对话讨论艺术学习者减少、教师对不同学生的投入方式及个人教学表达。,教学与课程内容,教学材料与实施,教学方法与课堂活动,教学与课程内容 > 教学材料与实施 > 教学方法与课堂活动,standard,14,0.14,14,1086335019|1086335021|1086335023|1086335025|1086335027|1086335029|1086335031|1086335033|1086335035|1086335037|1086335039|1086335041|1086335043|1086335045,艺术教学对象与教学表达,教学与课程内容 > 教学材料与实施 > 教学方法与课堂活动
A,S1000-0007,STI-f4ff3b55bda890afe261,accepted,agree,俄罗斯钢琴学派与赛事讨论,双方谈及俄罗斯钢琴学派的音乐表达理念、比赛和俄罗斯被制裁的背景。,娱乐与创作,娱乐作品与活动,音乐与偶像文化,娱乐与创作 > 娱乐作品与活动 > 音乐与偶像文化,standard,22,0.22,22,1086334927|1086334929|1086334931|1086334933|1086334935|1086334937|1086334939|1086334941|1086334943|1086334945|1086334947|1086334949|1086334951|1086334953|1086334955|1086334957|1086334959|1086334961|1086334963|1086334965|1086334967|1086334969,俄罗斯钢琴学派与赛事讨论,娱乐与创作 > 娱乐作品与活动 > 音乐与偶像文化
A,S1000-0008,STI-30ffd603588244a68979,partially_corrected_unresolved,problem,Zoe公开课邀请与参课询问,聊天中转发Zoe公开课邀请，并询问是否能够参加公开课。（通过公开课来发起一个面对面的聊天），这里不是真的开展一个在线的课堂培训，而是用这种方式来实现视频的效果,课程运营与服务,课程服务管理,课程沟通与衔接,课程运营与服务 > 课程服务管理 > 课程沟通与衔接,standard,6,0.06,6,1099948019|1101176499|1103814639|1103814641|1103814643|1103814653,Zoe公开课邀请与参课询问,课程运营与服务 > 课程服务管理 > 课程沟通与衔接
A,S1000-0008,STI-ad296d253ba65b3e2979,corrected,problem,语音通话约定出去吃饭、游玩时间,双方协调吃饭、上课、亲戚来访和外出期间可聊天、通话或游玩的时间。,人际关系与社交,社交活动与日常互动,社交活动与见面,人际关系与社交 > 社交活动与日常互动 > 社交活动与见面,standard,18,0.18,18,1099947999|1099948003|1099948005|1099948009|1099948013|1099948017|1102473101|1103814607|1103814609|1103814611|1103814615|1103814617|1103814619|1103814621|1103814625|1103814627|1103814629|1103814633,联络并约定语音或游玩时间,数字平台与技术 > 账号与在线社群 > 在线联络与联系人
A,S1000-0008,STI-adbcb1fb3a04476cdfff,accepted,agree,误读文字引发的玩笑,一方讲述将文字误读后的反应，双方继续围绕读音和文字进行玩笑。,人际关系与社交,社交活动与日常互动,轻松闲聊与玩笑,人际关系与社交 > 社交活动与日常互动 > 轻松闲聊与玩笑,standard,12,0.12,12,1103814697|1103814699|1103814701|1103814703|1103814705|1103814707|1103814709|1103814711|1103814713|1103814715|1103814717|1103814719,误读文字引发的玩笑,人际关系与社交 > 社交活动与日常互动 > 轻松闲聊与玩笑
A,S1000-0009,STI-10effda585b42a470845,corrected,problem,手机受限导致联络中断与账号处理,双方解释近期联络中断，并谈及手机无法取得和使用家长手机号建立账号。,人际关系与社交,社交活动与日常互动,轻松闲聊与玩笑,人际关系与社交 > 社交活动与日常互动 > 轻松闲聊与玩笑,standard,16,0.16,16,1079764671|1088175617|1088175619|1088175621|1088175627|1088175629|1088175631|1088175633|1089232083|1089232085|1091576005|1091576009|1091576013|1091576015|1091576017|1091576019,手机受限导致联络中断与账号处理,数字平台与技术 > 账号与在线社群 > 账号与身份资料
A,S1000-0009,STI-264cf03c3cd11b063f16,accepted,agree,对高中生活与请假的看法,双方交流对高中生活的期待落差，以及请假时面对老师和家长的情况。,教育与工作经济,学校与教育路径,学校与校园生活,教育与工作经济 > 学校与教育路径 > 学校与校园生活,standard,21,0.21,21,1091576029|1091576031|1094211787|1094211799|1094211801|1096781645|1096781649|1098810017|1098810019|1098810023|1098810025|1098810027|1098810029|1098810031|1100064661|1100064663|1100064665|1100064671|1101359241|1101359243|1101359245,对高中生活与请假的看法,教育与工作经济 > 学校与教育路径 > 学校与校园生活
A,S1000-0009,STI-8631afa76c7fbc100660,accepted,agree,虚拟平台游戏与金蛋道具,双方讨论是否还玩虚拟平台、已花掉的金蛋，以及重新下载后赠送金蛋的提议。,娱乐与创作,娱乐作品与活动,电子游戏与游玩,娱乐与创作 > 娱乐作品与活动 > 电子游戏与游玩,standard,10,0.1,10,1096781653|1098810035|1098810037|1100064667|1100064669|1100064671|1101359249|1101359253|1102667345|1102667347,虚拟平台游戏与金蛋道具,娱乐与创作 > 娱乐作品与活动 > 电子游戏与游玩
A,S1000-0009,STI-f180c44763a4dadea82d,accepted,agree,虚拟平台好友引发的关系误会,一方因对方在虚拟平台的好友和头像产生关系疑问，双方随后澄清并确认不想分手。,人际关系与社交,人际关系与身份,恋爱与亲密关系,人际关系与社交 > 人际关系与身份 > 恋爱与亲密关系,standard,27,0.27,27,1101359251|1101359255|1102667343|1102667345|1102667347|1104023735|1104023737|1104023739|1104023741|1104023743|1104023745|1104023747|1104023749|1104023751|1104023753|1104023755|1104023757|1104023759|1104023761|1104023763|1104023765|1104023767|1104023769|1104023771|1105334921|1105334923|1105334925,虚拟平台好友引发的关系误会,人际关系与社交 > 人际关系与身份 > 恋爱与亲密关系
A,S1000-0010,STI-1fb35021550b9aba28e9,accepted,agree,作业完成状态未被系统确认,学生反馈完成作业后平台未显示已完成，另一名成员表示遇到同样问题。,,,,,short_candidate,4,0.04,4,1112309829|1112309831|1112309833|1112309835,作业完成状态未被系统确认,
A,S1000-0010,STI-49fd38b0b1a924ba6d73,accepted,agree,课堂用语与交流范围提醒,群内提醒避免不当用语，并要求课堂交流以学习相关内容为主。,,,,,short_candidate,3,0.03,3,1109581063|1109581069|1110902979,课堂用语与交流范围提醒,
A,S1000-0010,STI-709d2c813ed5d42f16b4,accepted,agree,Zoom课堂链接与当晚是否上课,成员询问Zoom课堂链接和当晚是否上课，聊天中出现不同回复。,课程运营与服务,在线课程运行,在线教室与课程接入,课程运营与服务 > 在线课程运行 > 在线教室与课程接入,standard,11,0.11,11,1109581015|1109581021|1109581023|1109581025|1109581027|1109581029|1109581031|1109581033|1109581035|1109581037|1109581039,Zoom课堂链接与当晚是否上课,课程运营与服务 > 在线课程运行 > 在线教室与课程接入
A,S1000-0010,STI-c66aa1a29f27cab726ab,corrected,problem,课前及课后作业要求,群内提醒学员课前完成作业，并布置Lesson 52和53作业。,学习与学业内容,学习任务与评价,作业与练习,学习与学业内容 > 学习任务与评价 > 作业与练习,short_candidate,3,0.03,3,1093623689|1108281353|1109581079,课前及课后作业要求,
A,S1000-0010,STI-da39e604b6d5cc31c99b,accepted,agree,学习平台登录与作业提交协助,成员分享操作指引，并协助学生登录学习平台、识别账号信息和处理无法登录的问题。,数字平台与技术,账号与在线社群,账号与身份资料,数字平台与技术 > 账号与在线社群 > 账号与身份资料,standard,29,0.29,29,1103431889|1103431897|1103431899|1103431901|1103431903|1103431905|1103431907|1103431911|1103431913|1104765839|1104765847|1104765849|1105948043|1107037265|1107037267|1107037269|1107037271|1107037273|1107037275|1107037277|1107037279|1107037281|1107037283|1107037285|1107037287|1107037289|1107037291|1107037293|1108281351,学习平台登录与作业提交协助,数字平台与技术 > 账号与在线社群 > 账号与身份资料
A,S1000-0010,STI-ee86a5a5a6932f09f739,accepted,agree,催促学员进入课堂,群内多次点名并催促成员进入课堂学习。,课程运营与服务,在线课程运行,在线教室与课程接入,课程运营与服务 > 在线课程运行 > 在线教室与课程接入,standard,6,0.06,6,1086386401|1092298893|1103431887|1109581071|1109581073|1109581075,催促学员进入课堂,课程运营与服务 > 在线课程运行 > 在线教室与课程接入
A,S1000-0011,STI-3c97e631a2fede6c83b6,accepted,agree,发电课程材料是否收到,学生提到上节发电课程材料较多，并询问对方是否收到材料。,,,,,short_candidate,2,0.02,2,1093912991|1093912993,发电课程材料是否收到,
A,S1000-0011,STI-3cb016b90b168576c8c1,accepted,agree,提前五分钟上课,学生转述老师可能要求提前五分钟上课。,,,,,short_candidate,3,0.03,3,1093912985|1093912987|1093912989,提前五分钟上课,
A,S1000-0011,STI-3ea0fb0c2b5ce5f28a9b,accepted,agree,通过加号拍照发送图片,学生说明可通过消息栏加号中的相机拍照并发送图片。,数字平台与技术,课堂工具与数字媒体,数字媒体与文件处理,数字平台与技术 > 课堂工具与数字媒体 > 数字媒体与文件处理,standard,6,0.06,6,1095222281|1102352317|1102352323|1102352325|1102352327|1102352329,通过加号拍照发送图片,数字平台与技术 > 课堂工具与数字媒体 > 数字媒体与文件处理
A,S1000-0011,STI-488ffaf76351dfcdc0f1,accepted,agree,异地携带课程材料,学生询问回成都时如何带走材料，另一名学生建议装入箱子或袋子。,,,,,short_candidate,4,0.04,4,1095222267|1095222269|1095222273|1095222275,异地携带课程材料,
A,S1000-0011,STI-83efbf7bcfbf8ebd022a,accepted,agree,班级群聊天规则,学生询问群内聊天情况，教师说明可以正常聊天，但不当发言会被禁言。,数字平台与技术,账号与在线社群,群组与社群设置,数字平台与技术 > 账号与在线社群 > 群组与社群设置,standard,6,0.06,6,1093913041|1093913043|1093913051|1093913053|1093913055|1093913057,班级群聊天规则,数字平台与技术 > 账号与在线社群 > 群组与社群设置
A,S1000-0011,STI-afa07903cf0325b51d50,accepted,agree,作业完成与提交评价,学生交流作业完成情况并展示作品，教师确认收到并给予肯定。,学习与学业内容,学习任务与评价,作业与练习,学习与学业内容 > 学习任务与评价 > 作业与练习,standard,6,0.06,6,1093913023|1093913025|1102352319|1102352337|1102352339|1102352341,作业完成与提交评价,学习与学业内容 > 学习任务与评价 > 作业与练习
A,S1000-0011,STI-f465c15f5799da0ac687,accepted,agree,共同使用成长页黑板功能,学生讨论成长页中的黑板功能，并尝试约定在同一时间进入使用。,数字平台与技术,课堂工具与数字媒体,在线课堂工具使用,数字平台与技术 > 课堂工具与数字媒体 > 在线课堂工具使用,standard,10,0.1,10,1093913045|1093913047|1093913049|1096487497|1098548281|1101038635|1101038637|1102352291|1102352293|1102352295,共同使用成长页黑板功能,数字平台与技术 > 课堂工具与数字媒体 > 在线课堂工具使用
A,S1000-0012,STI-119a54db6d4dfb078146,accepted,agree,交易仓位与止损安排,班主任反复提醒控制仓位、避免重仓，并说明止损、分批布局和中长线的处理方式。,金融与公共信息,金融与公共议题,金融市场与交易,金融与公共信息 > 金融与公共议题 > 金融市场与交易,standard,13,0.13,13,1080414561|1080414567|1080414577|1080414583|1080414585|1080414599|1080414613|1080414627|1082558735|1082558745|1082558749|1083848219|1083848223,交易仓位与止损安排,金融与公共信息 > 金融与公共议题 > 金融市场与交易
A,S1000-0012,STI-d7014661c883b0b1e400,accepted,agree,是否提供进出场提示,学生希望获得进出场提示，班主任回应不会喊单，只会发布个人分析思路。,金融与公共信息,金融与公共议题,金融市场与交易,金融与公共信息 > 金融与公共议题 > 金融市场与交易,standard,5,0.05,5,1080414589|1080414609|1080414611|1080414613|1080414615,是否提供进出场提示,金融与公共信息 > 金融与公共议题 > 金融市场与交易
A,S1000-0012,STI-dab3e841a165e131ad39,accepted,agree,黄金价格区间与后市判断,群内讨论黄金的支撑、压力与关键价位，并对8月及下周可能走势作出判断。,金融与公共信息,金融与公共议题,金融市场与交易,金融与公共信息 > 金融与公共议题 > 金融市场与交易,standard,26,0.26,26,1080414487|1080414495|1080414499|1080414503|1080414509|1080414511|1080414517|1080414519|1080414523|1080414525|1080414527|1080414529|1080414531|1080414533|1080414535|1080414621|1080414623|1080414625|1081423025|1081423027|1081423029|1082558729|1082558739|1082558743|1083848217|1083848219,黄金价格区间与后市判断,金融与公共信息 > 金融与公共议题 > 金融市场与交易
A,S1000-0013,STI-8297e88f6cb4fa86f4ad,accepted,agree,晚间腾讯会议安排,班主任发布连续多日的晚间腾讯会议时间、会议号和入会信息。,课程运营与服务,在线课程运行,在线教室与课程接入,课程运营与服务 > 在线课程运行 > 在线教室与课程接入,special_business,4,0.04,4,1082947895|1084200657|1085473655|1086717945,晚间腾讯会议安排,课程运营与服务 > 在线课程运行 > 在线教室与课程接入
A,S1000-0013,STI-a0362f21a8c0b7512a44,accepted,agree,交易止损与仓位管理,班主任要求控制仓位、设置止损、不随意扛单，并说明补仓和止盈应按个人方式处理。,金融与公共信息,金融与公共议题,金融市场与交易,金融与公共信息 > 金融与公共议题 > 金融市场与交易,standard,18,0.18,18,1084200655|1085473613|1085473615|1085473617|1085473625|1085473627|1085473629|1085473631|1085473637|1085473657|1086717915|1086717947|1086717949|1087960707|1087960709|1087960711|1087960713|1087960721,交易止损与仓位管理,金融与公共信息 > 金融与公共议题 > 金融市场与交易
A,S1000-0013,STI-b5eaed4ecf93a8d72724,accepted,agree,白天群与晚间直播参与安排,班主任说明可按时间和状态选择白天群或晚间直播参与，并要求遵守规则。,特殊内容主题,敏感与未见内容,其他/待细分主题,特殊内容主题 > 敏感与未见内容 > 其他/待细分主题,standard,8,0.08,8,1082947897|1084200627|1084200635|1085473619|1085473635|1085473641|1085473643|1086717919,白天群与晚间直播参与安排,特殊内容主题 > 敏感与未见内容 > 其他/待细分主题
A,S1000-0013,STI-e1f6c3bd28e5ec579845,accepted,agree,黄金关键价位与交易方向分析,群内持续讨论黄金价格的突破、回踩、支撑、压制及后续目标价位。,金融与公共信息,金融与公共议题,金融市场与交易,金融与公共信息 > 金融与公共议题 > 金融市场与交易,standard,31,0.31,31,1084200629|1084200631|1084200633|1084200639|1084200641|1084200643|1084200645|1084200647|1085473613|1085473621|1085473625|1085473637|1085473639|1085473645|1085473649|1085473651|1085473653|1085473659|1085473661|1086717913|1086717915|1086717921|1086717933|1086717935|1086717937|1086717939|1086717941|1086717943|1087960705|1087960717|1087960719,黄金关键价位与交易方向分析,金融与公共信息 > 金融与公共议题 > 金融市场与交易
A,S1000-0013,STI-ff3239e2a8ddffa08252,accepted,agree,迁入新ClassIn群并统一昵称时间,群内要求成员进入新的ClassIn群、退出旧群并将昵称和时间格式保持一致，同时保留QQ群作为备用。,数字平台与技术,账号与在线社群,群组与社群设置,数字平台与技术 > 账号与在线社群 > 群组与社群设置,standard,23,0.23,23,1082947875|1082947877|1082947879|1082947881|1082947883|1082947887|1082947889|1082947891|1082947893|1087960723|1087960725|1087960727|1087960729|1087960731|1087960733|1087960735|1087960737|1087960739|1087960741|1087960743|1087960745|1087960747|1087960749,迁入新ClassIn群并统一昵称时间,数字平台与技术 > 账号与在线社群 > 群组与社群设置
